Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
52689637,"Demon Slayer, Vol. 2",Koyoharu Gotouge,"Gotouge, Koyoharu",Antonio Valdez,"=""""","=""9786076347058""",5,4.47,Panini México,Paperback,204,2020,2016,2022/01/01,2021/12/31,,,read,,,,1,0
32708007,鬼滅の刃 1 [Kimetsu no Yaiba 1],Koyoharu Gotouge,"Gotouge, Koyoharu",吾峠呼世晴,"=""""","=""""",5,4.52,集英社 [Shūeisha],Kindle Edition,197,2016,2016,,2021/12/31,,,read,,,,1,0
54867747,"Demon Slayer, Vol. 3",Koyoharu Gotouge,"Gotouge, Koyoharu",Antonio Valdez,"=""""","=""9786076348475""",5,4.48,Panini Mexico,Paperback,190,2020,2016,2022/01/01,2022/01/01,,,read,,,,1,0
55173459,"Demon Slayer, Vol. 5",Koyoharu Gotouge,"Gotouge, Koyoharu",Antonio Valdez,"=""""","=""9786076348499""",0,4.58,Panini Mexico,Paperback,200,2020,2017,,2022/01/01,to-read,to-read (#102),to-read,,,,0,0
40680067,"Demon Slayer: Kimetsu no Yaiba, Vol. 4",Koyoharu Gotouge,"Gotouge, Koyoharu",,"=""1974700550""","=""9781974700554""",0,4.53,VIZ Media LLC,Paperback,192,2019,2016,,2022/01/01,to-read,to-read (#101),to-read,,,,0,0
36538793,"Demon Slayer: Kimetsu no Yaiba, Vol. 1",Koyoharu Gotouge,"Gotouge, Koyoharu",,"=""1974700526""","=""9781974700523""",5,4.52,VIZ Media LLC,Paperback,192,2018,2016,2021/12/31,2021/12/20,,,read,My only regret is that I didn't start reading this series sooner!,,,1,0
43568394,"The Guinevere Deception (Camelot Rising, #1)",Kiersten White,"White, Kiersten",,"=""0525581685""","=""9780525581680""",2,3.77,Delacorte Press,Library Binding,352,2019,2019,2021/12/31,2021/12/27,,,read,,,,1,0
211461,The Amazing Spider-Man: Civil War,J. Michael Straczynski,"Straczynski, J. Michael","Stan Lee, Ron Garney","=""0785122370""","=""9780785122371""",4,4.22,Marvel Enterprises,Paperback,168,2007,2007,,2021/12/27,,,read,,,,1,0
30284427,Morbius: The Living Vampire #1,Joseph Keatinge,"Keatinge, Joseph",Richard Elson,"=""""","=""""",0,3.63,Marvel,Kindle Edition,24,2013,2013,,2021/12/27,to-read,to-read (#100),to-read,,,,0,0
18890714,"The Superior Spider-Man, Vol. 1: My Own Worst Enemy",Dan Slott,"Slott, Dan","Ryan Stegman, Giuseppe Camuncoli","=""""","=""""",5,4.22,Marvel,Kindle Edition,113,2013,2013,2021/12/27,2021/12/27,,,read,,,,1,0
